product_id,department_id,department,product_name
63,4,Electronics,Product_63_Stop
136,6,Electronics,Product_136_Determine
749,4,Toys,Product_749_Response
300,1,Clothing,Product_300_Where
688,2,Sports,Product_688_Each
5,1,Toys,Product_5_Easy
881,1,Sports,Product_881_Off
4,6,Sports,Product_4_Tv
714,5,Home,Product_714_Impact
751,6,Books,Product_751_Once
528,1,Books,Product_528_Case
972,2,Electronics,Product_972_Worry
335,6,Toys,Product_335_Reason
740,1,Books,Product_740_Design
431,2,Electronics,Product_431_At
446,1,Toys,Product_446_South
105,6,Sports,Product_105_Cause
184,6,Sports,Product_184_Pay
710,6,Home,Product_710_Social
100,2,Sports,Product_100_So
728,6,Home,Product_728_Onto
737,2,Clothing,Product_737_Model
283,6,Electronics,Product_283_Write
906,1,Clothing,Product_906_Season
702,4,Home,Product_702_Watch
556,1,Electronics,Product_556_Mother
489,6,Electronics,Product_489_Appear
626,6,Sports,Product_626_Team
650,1,Sports,Product_650_Meeting
551,2,Electronics,Product_551_Bank
,3,Electronics,Product_101_Value
179,1,Books,Product_179_Ok
645,1,Electronics,Product_645_Economy
206,2,Clothing,Product_206_Skin
784,5,Home,Product_784_Partner
804,1,Home,Product_804_Office
401,2,Books,Product_401_Seem
85,1,Home,Product_85_Protect
201,4,Sports,Product_201_Test
961,1,Books,Product_961_Within
129,1,Clothing,Product_129_Region
420,3,Toys,Product_420_Section
925,6,Home,Product_925_High
558,6,Clothing,Product_558_Table
663,2,Electronics,Product_663_Drop
530,5,Clothing,Product_530_Democratic
153,6,Electronics,Product_153_Under
696,1,Home,Product_696_Southern
816,6,Clothing,Product_816_Upon
496,2,Sports,Product_496_Prove
846,3,Electronics,Product_846_Run
860,6,Electronics,Product_860_What
631,6,Clothing,Product_631_Together
628,5,Home,Product_628_Fear
469,1,Clothing,Product_469_Executive
466,4,Home,Product_466_Shoulder
393,1,Home,Product_393_Rather
920,1,Books,Product_920_Team
265,5,Toys,Product_265_Pick
349,6,Toys,Product_349_Center
458,1,Electronics,Product_458_Born
445,2,Sports,Product_445_Receive
329,1,Clothing,Product_329_Town
277,6,Books,Product_277_Especially
366,5,Clothing,Product_366_Make
986,2,Clothing,Product_986_Student
92,6,Sports,Product_92_Water
,3,Electronics,Product_127_Skill
26,1,Home,Product_26_Development
196,6,Clothing,Product_196_Tell
554,6,Clothing,Product_554_Fact
365,3,Clothing,Product_365_Focus
596,1,Home,Product_596_Happen
48,5,Sports,Product_48_Help
970,1,Sports,Product_970_Nothing
138,2,Toys,Product_138_Owner
538,3,Books,Product_538_Beat
561,5,Home,Product_561_Wife
36,2,Electronics,Product_36_Us
353,6,Sports,Product_353_Risk
222,1,Clothing,Product_222_Reality
775,2,Electronics,Product_775_Off
50,3,Clothing,Product_50_Between
